StudentID,Year,Bi Std,Bi Teacher,Bi ATL,Bi Compl. Of Work,Bi Sub Achievement,BM Std,BM Teacher,BM ATL,BM Compl. Of Work,BM Sub Achievement,Ch Std,Ch Teacher,Ch ATL,Ch Compl. Of Work,Ch Sub Achievement,CAb Std,CAb Teacher,CAb ATL,CAb Compl. Of Work,CAb Sub Achievement,CB Std,CB Teacher,CB ATL,CB Compl. Of Work,CB Sub Achievement,CLL Std,CLL Teacher,CLL ATL,CLL Compl. Of Work,CLL Sub Achievement,Ec Std,Ec Teacher,Ec ATL,Ec Compl. Of Work,Ec Sub Achievement,EB Std,EB Teacher,EB ATL,EB Compl. Of Work,EB Sub Achievement,EL Std,EL Teacher,EL ATL,EL Compl. Of Work,EL Sub Achievement,FB Std,FB Teacher,FB ATL,FB Compl. Of Work,FB Sub Achievement,Ge Std,Ge Teacher,Ge ATL,Ge Compl. Of Work,Ge Sub Achievement,Hi Std,Hi Teacher,Hi ATL,Hi Compl. Of Work,Hi Sub Achievement,JLi Std,JLi Teacher,JLi ATL,JLi Compl. Of Work,JLi Sub Achievement,Kli Std,Kli Teacher,Kli ATL,Kli Compl. Of Work,Kli Sub Achievement,MS Std,MS Teacher,MS ATL,MS Compl. Of Work,MS Sub Achievement,Ma Std,Ma Teacher,Ma ATL,Ma Compl. Of Work,Ma Sub Achievement,Predicted Grade,Actual Grade,Scaled Total,Mu Std,Mu Teacher,Mu ATL,Mu Compl. Of Work,Mu Sub Achievement,Ph Std,Ph Teacher,Ph ATL,Ph Compl. Of Work,Ph Sub Achievement,Ps Std,Ps Teacher,Ps ATL,Ps Compl. Of Work,Ps Sub Achievement,SAb Std,SAb Teacher,SAb ATL,SAb Compl. Of Work,SAb Sub Achievement,SB Std,SB Teacher,SB ATL,SB Compl. Of Work,SB Sub Achievement,SEHS Std,SEHS Teacher,SEHS ATL,SEHS Compl. Of Work,SEHS Sub Achievement,TB Std,TB Teacher,TB ATL,TB Compl. Of Work,TB Sub Achievement,Th Std,Th Teacher,Th ATL,Th Compl. Of Work,Th Sub Achievement,ToK Std,ToK Teacher,ToK ATL,ToK Compl. Of Work,ToK Sub Achievement,ToC Std,ToC Teacher,ToC ATL,ToC Compl. Of Work,ToC Sub Achievement,Var Std,Var Teacher,Var ATL,Var Compl. Of Work,Var Sub Achievement
1.05807E+11,2017,,,,,,HL,AHi,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CSi,5,5,5,,,,,,,,,,,SL,HCY,2,2,2,,,,,,,,,,,,,,,,,,,,,SL,CLe,6,X,3,4,3,40,,,,,,HL,MSr,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,4,5,4,,,,,,,,,,
1.60511E+11,2017,,,,,,,,,,,SL,GLi,6,6,5,,,,,,,,,,,,,,,,HL,CTH,6,6,6,,,,,,HL,KHo,6,7,5,,,,,,,,,,,HL,NHa,7,7,7,,,,,,,,,,,,,,,,SL,CNa,5,5,3,4,4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,5,,,,,,,,,,
1.03022E+11,2017,,,,,,,,,,,HL,JTe,6,6,5,,,,,,,,,,,SL,ZYY,6,6,6,HL,RSi,7,7,7,HL,TRo,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,7,7,6,83,,,,,,SL,HCC,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TTh,7,6,6,,,,,
1.13915E+11,2017,,,,,,,,,,,HL,KKu,7,6,6,,,,,,,,,,,SL,CWe,7,7,7,HL,RSi,7,7,6,HL,CSi,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,7,7,7,89,,,,,,SL,HCC,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,7,,,,,,,,,,
1.43951E+11,2017,SL,AIn,7,7,7,HL,AHi,6,6,6,,,,,,,,,,,,,,,,SL,CWe,7,7,7,,,,,,HL,CBo,7,7,7,,,,,,,,,,,SL,HCY,7,7,5,,,,,,,,,,,,,,,,,,,,,HL,JTo,7,7,6,6,6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,6,7,6,,,,,,,,,,
93932705547,2017,HL,IPa,7,7,6,SL,PNg,7,7,7,HL,JTe,6,6,5,,,,,,,,,,,SL,CWe,7,7,7,,,,,,HL,TRo,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,7,7,7,7,7,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,7,6,6,,,,,,,,,,
1.22259E+11,2017,HL,IPa,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CTH,6,6,5,,,,,,HL,JWh,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CLe,6,5,3,4,4,45,,,,,,,,,,,HL,SDa,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,5,,,,,,,,,,
1.03322E+11,2017,SL,RGo,6,6,6,,,,,,HL,JTe,6,6,5,,,,,,,,,,,,,,,,SL,CTH,6,6,5,HL,CSi,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,SL,OEj,7,7,7,,,,,,HL,JTo,6,5,5,5,5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,5,,,,,,,,,,
1.14553E+11,2017,HL,RGo,7,7,7,SL,PNg,7,7,7,HL,JTe,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,SL,LLa,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,7,7,7,7,7,80,,,,,,,,,,,,,,,,SL,Cal,7,7,7,,,,,,,,,,,,,,,,,,,,,,CRo,7,7,7,,,,,,,,,,
1.63602E+11,2017,HL,RGo,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CTH,6,6,5,,,,,,HL,PTh,5,5,5,,,,,,,,,,,SL,TRL,6,7,6,,,,,,,,,,,,,,,,SL,BGe,6,6,4,5,5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,5,,,,,,,,,,
1.50311E+11,2017,,,,,,,,,,,,,,,,SL,TWs,6,6,4,,,,,,,,,,,HL,CTH,6,6,5,,,,,,HL,JWh,5,4,5,,,,,,,,,,,SL,TRL,7,6,6,,,,,,,,,,,,,,,,SL,FBe,6,6,6,6,6,73,,,,,,HL,MSr,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,5,,,,,,,,,,
1.13907E+11,2017,,,,,,SL,PNg,6,5,4,HL,CSe,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,SL,MHo,6,6,5,SL,CRo,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,4,4,3,4,4,44,,,,,,HL,MSr,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,5,6,5,,,,,,,,,,
1.40844E+11,2017,,,,,,HL,AHi,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,KHo,6,5,5,,,,,,HL,HCY,5,5,3,,,,,,,,,,,,,,,,,,,,,SL,TSS,5,6,4,5,5,63,,,,,,,,,,,,,,,,,,,,,,,,,,,WMo,5,5,5,,,,,,,,,,,,CRo,4,5,4,,,,,,,,,,
1.02339E+11,2017,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CHYi,7,7,7,HL,CTH,5,5,4,HL,CSi,5,6,5,,,,,,,,,,,SL,PBa,5,5,4,,,,,,,,,,,,,,,,,,,,,SL,TSS,6,6,4,5,4,55,,,,,,SL,HCC,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TTh,6,6,6,,,,,
1.02436E+11,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RSi,7,6,5,HL,TRo,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FBe,5,5,4,4,4,51,,,,,,SL,HWK,6,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,6,6,5,,,,,,HL,MGi,6,5,5
1.03839E+11,2017,,,,,,,,,,,HL,CSe,7,7,7,SL,TWs,7,7,6,,,,,,,,,,,SL,CTH,6,6,5,,,,,,SL,HBa,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,DCh,7,7,6,7,6,69,,,,,,HL,MSr,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,6,6,6,,,,,,,,,,
1.60721E+11,2017,,,,,,HL,JMa,6,6,6,,,,,,,,,,,SL,KLK,7,7,7,,,,,,,,,,,,,,,,HL,KHo,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,6,6,6,78,,,,,,SL,HCC,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,5,,,,,,HL,MGi,6,5,6
1.70943E+11,2017,HL,RGo,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CTH,5,5,5,,,,,,SL,MHo,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CLe,6,6,4,5,7,88,,,,,,,,,,,HL,SDa,6,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,7,6,6,,,,,,,,,,
1.54552E+11,2017,SL,AIn,5,5,3,HL,JMa,5,5,5,,,,,,,,,,,HL,CWe,7,7,7,,,,,,,,,,,,,,,,SL,CBo,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,5,4,4,5,4,52,SL,CLi,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,6,7,5,,,,,,,,,,
1.0183E+11,2017,HL,RGo,5,5,3,HL,JMa,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,LLa,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,4,4,2,3,2,28,,,,,,,,,,,HL,SDa,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,6,6,5,,,,,,,,,,
91429705547,2017,,,,,,SL,PNg,4,5,5,HL,JTe,4,4,4,,,,,,,,,,,,,,,,,,,,,HL,CSi,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,5,5,4,5,6,80,,,,,,HL,MSr,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,4,5,5,,,,,,,,,,
1.53013E+11,2017,HL,RGo,6,5,5,HL,JMa,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,MHo,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,5,5,6,73,,,,,,,,,,,HL,SDa,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,6,7,5,,,,,,,,,,
1.45548E+11,2017,,,,,,,,,,,HL,JTe,4,4,4,,,,,,,,,,,,,,,,SL,AWo,5,5,5,,,,,,SL,LLa,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,DCh,6,6,4,4,5,54,,,,,,HL,MSr,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,5,5,5,,,,,,,,,,
1.31242E+11,2017,,,,,,,,,,,,,,,,,,,,,,,,,,SL,ZYY,7,7,7,HL,CTH,6,6,6,HL,TRo,7,7,6,,,,,,,,,,,HL,PBa,6,6,5,,,,,,,,,,,,,,,,,,,,,SL,CNa,7,7,7,7,7,91,,,,,,SL,HWK,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,5,,,,,,,,,,
1.1502E+11,2017,HL,RGo,7,7,7,SL,PNg,7,7,7,HL,JTe,7,7,7,,,,,,,,,,,SL,CWe,7,7,7,,,,,,HL,CBo,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,7,7,7,7,7,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,7,6,6,,,,,,,,,,
1.60844E+11,2017,HL,RGo,7,7,5,,,,,,HL,KKu,7,6,4,,,,,,,,,,,,,,,,HL,RSi,7,7,6,,,,,,SL,MHo,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TSS,6,6,4,5,6,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,6,6,6,,,,,,,,,,
1.42107E+11,2017,HL,RGo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,SL,AWo,6,5,6,,,,,,HL,JWh,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,6,6,4,5,6,73,,,,,,,,,,,,,,,,SL,Cal,6,5,5,,,,,,,,,,,,,,,,HL,RMc,6,5,5,,RMo,5,7,5,,,,,,,,,,
84922705547,2017,,,,,,HL,JMa,6,6,5,SL,CSe,6,6,5,,,,,,,,,,,,,,,,,,,,,HL,TRo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,GGo,6,5,4,5,4,52,,,,,,SL,HWK,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,6,7,6,,,,,,,,,,
1.41201E+11,2017,SL,AIn,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,KHo,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,5,4,4,4,3,40,,,,,,,,,,,HL,SDa,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,6,7,5,,,,,,SL,CHT,5,5,5
1.32312E+11,2017,,,,,,,,,,,SL,GLi,5,4,4,SL,TWs,7,7,6,,,,,,,,,,,,,,,,,,,,,HL,PTh,5,5,5,,,,,,HL,PBa,4,4,5,,,,,,,,,,,,,,,,SL,LLPj,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,6,6,5,,,,,,HL,MGi,5,5,5
1.40118E+11,2017,HL,RGo,X,X,X,,,,,,HL,KKu,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,SL,MHo,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CLe,5,X,4,5,6,74,,,,,,,,,,,HL,SDa,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,X,X,X,,,,,,,,,,
1.13357E+11,2017,SL,AIn,5,5,5,HL,JMa,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,PTh,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FBe,6,6,4,4,4,54,,,,,,,,,,,HL,SDa,7,6,6,SL,Cal,6,6,6,,,,,,,,,,,,,,,,,,,,,,TRL,7,6,6,,,,,,,,,,
1.1212E+11,2017,HL,RGo,6,6,3,SL,PNg,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CBo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,LLPj,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,5,5,5,,,,,,HL,MGi,6,5,5
1.65354E+11,2017,,,,,,,,,,,HL,CSe,4,4,3,,,,,,,,,,,,,,,,SL,CTH,5,5,5,,,,,,SL,HBa,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,JTo,5,5,4,4,5,56,,,,,,HL,MSr,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,5,5,5,,,,,,,,,,
1.44049E+11,2017,HL,IPa,7,7,6,,,,,,,,,,,,,,,,,,,,,SL,CWe,7,7,7,,,,,,HL,CSi,6,6,6,,,,,,,,,,,SL,PBa,7,7,7,,,,,,,,,,,,,,,,,,,,,HL,DCh,7,7,5,7,5,66,,,,,,SL,HWK,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,7,6,5,,,,,,,,,,
1.50702E+11,2017,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CWe,7,6,6,HL,CTH,6,5,5,HL,CSi,6,6,6,,,,,,,,,,,HL,PBa,6,6,7,,,,,,,,,,,,,,,,,,,,,SL,TSS,6,6,6,6,6,74,,,,,,SL,HWK,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,7,6,5,,,,,,,,,,
1.53016E+11,2017,SL,RGo,5,6,5,,,,,,SL,GLi,5,5,4,,,,,,,,,,,,,,,,HL,RSi,6,6,5,HL,CBo,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FBe,7,7,6,6,6,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TTh,6,6,6,,,,,
1.0245E+11,2017,SL,AIn,6,5,4,HL,AHi,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,HL,CSi,6,6,5,,,,,,,,,,,HL,HCY,7,5,4,,,,,,,,,,,,,,,,,,,,,SL,FBe,7,7,4,5,6,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,4,,,,,,,,,,
1.03011E+11,2017,,,,,,,,,,,HL,JTe,4,3,3,,,,,,,,,,,,,,,,HL,RSi,4,4,4,,,,,,SL,CBo,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TSS,5,5,3,4,5,58,,,,,,HL,MSr,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTo,5,5,5,,,,,,,,,,
85016705547,2017,SL,AIn,7,6,5,HL,JMa,5,5,5,,,,,,,,,,,,,,,,SL,ZYY,7,6,6,,,,,,HL,TRo,6,7,6,,,,,,,,,,,HL,HCY,7,5,4,,,,,,,,,,,,,,,,,,,,,SL,FBe,6,6,5,5,5,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TTh,7,7,6,,,,,
1.15336E+11,2017,SL,AIn,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RSi,7,7,7,HL,TRo,6,7,6,,,,,,,,,,,SL,HCY,7,7,6,,,,,,,,,,,SL,OEj,7,7,7,,,,,,HL,RCh,6,5,6,6,6,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,7,7,6,,,,,,,,,,
91835705547,2017,,,,,,,,,,,HL,CSe,7,7,7,,,,,,,,,,,,,,,,SL,AWo,7,6,6,,,,,,SL,HBa,6,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,DCh,7,7,6,7,7,81,,,,,,HL,MSr,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,7,7,6,,,,,,,,,,
91334705547,2017,,,,,,,,,,,HL,CSe,6,6,6,SL,TWs,7,7,5,,,,,,,,,,,SL,CTH,5,5,5,,,,,,SL,CBo,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HL,RCh,7,7,6,6,7,80,,,,,,HL,MSr,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRo,6,6,6,,,,,,,,,,
1.5106E+11,2017,HL,RGo,6,5,5,,,,,,HL,KKu,5,4,4,,,,,,,,,,,,,,,,HL,RSi,6,5,4,,,,,,SL,HBa,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,BGe,6,6,4,5,4,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,TTh,7,6,7,,,,,,,TRL,7,6,6,,,,,,,,,,
1.33616E+11,2017,,,,,,,,,,,SL,CSe,5,5,3,,,,,,,,,,,,,,,,HL,RSi,5,5,4,HL,CSi,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,HL,OEj,6,5,5,,,,,,SL,FBe,6,6,4,4,5,63,,,,,,SL,HCC,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBo,5,5,4,,,,,,,,,,
1.00754E+11,2017,HL,SSh,6,6,6,HL,JMa,6,6,6,HL,JTe,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,SL,LLa,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,CNa,7,7,6,7,6,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRL,7,7,7,,,,,,,,,,
1.21738E+11,2017,,,,,,HL,JMa,3,4,3,SL,CSe,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,HL,PTh,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL,FBe,4,5,4,4,4,51,,,,,,HL,MSr,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RMo,5,7,4,,,,,,,,,,
